position0,position1,position2,position3,position4,position5,position6,torque0,torque1,torque2,torque3,torque4,torque5,torque6,tactile0,tactile1,tactile2,tactile3,tactile4,tactile5,tactile6,tactile7,tactile8,tactile9,tactile10,tactile11,tactile12,tactile13,tactile14,tactile15
-0.4417902872072257,-0.15737258586409408,0.8998591761611424,0.19364652361419255,-0.12504295702344048,0.6997915551065955,-0.48492922836384184,-0.23902270904868606,0.32385079328938227,-0.5300348656015208,0.00576923143218222,-0.2093023354392468,0.15736191659047505,-0.3374999806364595,-0.9,-0.9,-0.9,-0.9,-0.7403940948744585,-0.6739130445455358,-0.7179775229724928,-0.6990291226866986,-0.9,-0.891509434098127,-0.889024388920362,-0.8919642854657153,-0.9,-0.8775933600474188,-0.8900552484244665,-0.8853260879235502
-0.44177604235132234,-0.1573725858640942,0.8998415647869219,0.19364652361419255,-0.12504295702344048,0.6998054523654295,-0.4849412954618193,-0.23923519198997711,0.3231725711683552,-0.5284655510723888,0.004945058468168728,-0.25116279839160727,0.14907971599696224,-0.3509999829600843,-0.9,-0.9,-0.9,-0.9,-0.7403940948744585,-0.6739130445455358,-0.7179775229724928,-0.6990291226866986,-0.9,-0.891509434098127,-0.889024388920362,-0.8919642854657153,-0.9,-0.8775933600474188,-0.8900552484244665,-0.8902173919490334
-0.4417902872072257,-0.15738483270064285,0.8998591761611424,0.19364652361419255,-0.12504295702344048,0.6997915551065955,-0.48492922836384184,-0.24050995455638746,0.3238508015817213,-0.5276808977052496,0.005219784513180392,-0.2302325720847882,0.15736191659047505,-0.3464999821855427,-0.9,-0.9,-0.9,-0.9,-0.7403940948744585,-0.6739130445455358,-0.7179775229724928,-0.6990291226866986,-0.9,-0.891509434098127,-0.889024388920362,-0.8899553568321441,-0.9,-0.8775933600474188,-0.8900552484244665,-0.8853260879235502
-0.4417902872072257,-0.15734809219099644,0.8998591761611424,0.19364652361419255,-0.12504295702344048,0.6998193496242634,-0.4849412954618193,-0.23923519198997711,0.32351168637503835,-0.5276809016026767,0.006043957477194106,-0.2302325720847882,0.16012265012164606,-0.33299998846793577,-0.9,-0.9,-0.9,-0.9,-0.7403940948744585,-0.6739130445455358,-0.7179775229724928,-0.6990291226866986,-0.9,-0.891509434098127,-0.889024388920362,-0.8879464281985728,-0.9,-0.8775933600474188,-0.8900552484244665,-0.8902173919490334
-0.4417902872072257,-0.15738483270064285,0.8998415647869219,0.19364652361419255,-0.1250214501918807,0.6998193496242634,-0.4849412954618193,-0.23902274281902003,0.3231725711683552,-0.5280732243888192,0.005769234017693248,-0.25116279839160727,0.15736191659047505,-0.3374999806364595,-0.9,-0.9,-0.9,-0.9,-0.7403940948744585,-0.6739130445455358,-0.7179775229724928,-0.6990291226866986,-0.9,-0.891509434098127,-0.889024388920362,-0.8919642854657153,-0.9,-0.8775933600474188,-0.8900552484244665,-0.8853260879235502
-0.4417902872072257,-0.15738483270064285,0.8998591761611424,0.19364652361419255,-0.12503220360766043,0.6998054523654295,-0.4849412954618193,-0.24008502244413932,0.3214770200119573,-0.5296425389179512,0.005219781927669587,-0.25116279839160727,0.14631897917473713,-0.3374999806364595,-0.9,-0.9,-0.9,-0.9,-0.7403940948744585,-0.6739130445455358,-0.7179775229724928,-0.6990291226866986,-0.9,-0.891509434098127,-0.889024388920362,-0.8919642854657153,-0.9,-0.8775933600474188,-0.8900552484244665,-0.8902173919490334
-0.44177604235132234,-0.15737258586409408,0.8998591761611424,0.19364652361419255,-0.12503220360766043,0.6997915551065955,-0.4849412954618193,-0.23902274281902003,0.3231725711683552,-0.5296425428153781,0.005494507972681362,-0.23023256691542704,0.15460118305930426,-0.34199997280498295,-0.9,-0.9,-0.9,-0.9,-0.7403940948744585,-0.6739130445455358,-0.7179775229724928,-0.6990291226866986,-0.9,-0.891509434098127,-0.889024388920362,-0.8919642854657153,-0.9,-0.8831950200355642,-0.8925414363183498,-0.8853260879235502
-0.4417902872072257,-0.1573603390275452,0.8998591761611424,0.19364652361419255,-0.12504295702344048,0.6998193496242634,-0.4849412954618193,-0.23987257327318223,0.32385079328938227,-0.5292502161318086,0.007142859071730401,-0.21976745376201756,0.15184044623707893,-0.34199997280498295,-0.9,-0.9,-0.9,-0.9,-0.7403940948744585,-0.6739130445455358,-0.7179775229724928,-0.6990291226866986,-0.9,-0.891509434098127,-0.889024388920362,-0.8899553568321441,-0.9,-0.8775933600474188,-0.8900552484244665,-0.8902173919490334
-0.4417902872072257,-0.15738483270064285,0.8998415647869219,0.19364652361419255,-0.12503220360766065,0.6998332468830978,-0.4849412954618193,-0.23966009033189128,0.32283346425401127,-0.5292502083369548,0.005219781927669587,-0.24069768006883652,0.15736191659047505,-0.3374999806364595,-0.9,-0.9,-0.9,-0.9,-0.7403940948744585,-0.6739130445455358,-0.7179775229724928,-0.6990291226866986,-0.9,-0.891509434098127,-0.889024388920362,-0.8919642854657153,-0.9,-0.8831950200355642,-0.8900552484244665,-0.8902173919490334
-0.4417902872072257,-0.15736033902754532,0.8998591761611424,0.19364652361419255,-0.12503220360766065,0.6997776578477611,-0.48491716126586437,-0.23902274281902003,0.3238508015817213,-0.5292502122343816,0.004945058468168728,-0.24069768006883652,0.15736191659047505,-0.3374999806364595,-0.9,-0.9,-0.9,-0.9,-0.7403940948744585,-0.6739130445455358,-0.7179775229724928,-0.6990291226866986,-0.9,-0.891509434098127,-0.8917682916902715,-0.8919642854657153,-0.9,-0.8775933600474188,-0.8900552484244665,-0.8853260879235502
