490,370,405,255,460,305,310,330
2.00,6.00,3.00,6.00,8.00,5.00,14.00,18.00
4.00,2.00,13.00,7.00,2.00,5.00,13.00,13.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.96,1.00,0.75,0.64,0.98,0.80,0.58,0.85
0.96,0.95,0.73,0.76,0.98,0.80,0.58,0.48
