tactile0,tactile1,tactile2,tactile3,tactile4,tactile5,tactile6,tactile7,tactile8,tactile9,tactile10,tactile11,tactile12,tactile13,tactile14,tactile15
0,0,0,0,0.029032258,0.045161288,0.032258064,0.038709678,0,0.006451613,0.009677419,0.006451613,0,0,0,0
0,0,0,0,0.029032258,0.048387095,0.032258064,0.038709678,0,0.006451613,0.009677419,0.006451613,0,0,0,0
0,0,0,0,0.029032258,0.048387095,0.032258064,0.038709678,0.003225806,0.006451613,0.012903226,0.006451613,0,0,0,0
0,0,0,0,0.029032258,0.045161288,0.032258064,0.038709678,0.003225806,0.006451613,0.012903226,0.006451613,0,0,0,0
0,0,0,0,0.029032258,0.048387095,0.032258064,0.038709678,0,0.006451613,0.012903226,0.006451613,0,0,0,0
0,0,0,0,0.025806451,0.045161288,0.032258064,0.038709678,0,0.012903226,0.012903226,0.006451613,0,0,0,0
0,0,0,0,0.029032258,0.045161288,0.032258064,0.038709678,0.003225806,0.006451613,0.012903226,0.006451613,0,0,0,0
0,0,0,0,0.029032258,0.048387095,0.032258064,0.038709678,0,0.006451613,0.009677419,0.006451613,0,0,0,0
0,0,0,0,0.029032258,0.045161288,0.032258064,0.038709678,0.003225806,0.012903226,0.009677419,0.006451613,0,0,0,0
0,0,0,0,0.029032258,0.048387095,0.032258064,0.038709678,0.003225806,0.006451613,0.009677419,0.006451613,0,0,0,0
0,0,0,0,0.029032258,0.048387095,0.032258064,0.038709678,0.003225806,0.012903226,0.009677419,0.006451613,0,0,0,0
0,0,0,0,0.029032258,0.045161288,0.032258064,0.038709678,0.003225806,0.012903226,0.009677419,0.006451613,0,0,0,0
0,0,0,0,0.029032258,0.048387095,0.032258064,0.038709678,0,0.006451613,0.012903226,0.006451613,0,0,0,0
0,0,0,0,0.029032258,0.045161288,0.032258064,0.038709678,0,0.006451613,0.012903226,0.006451613,0,0,0,0
0,0,0,0,0.029032258,0.045161288,0.032258064,0.038709678,0.003225806,0.006451613,0.012903226,0.006451613,0,0,0,0
0,0,0,0,0.025806451,0.048387095,0.032258064,0.038709678,0,0.006451613,0.009677419,0.006451613,0,0,0,0
