position1,position2,position3,position4,position5,position6,position7,torque1,torque2,torque3,torque4,torque5,torque6,torque7
2.128010187,-0.302046676,0.000191986,0.821386857,0.152122891,0.200032193,-0.946701503,30.67199898,7.3125,-0.959999919,4.002666473,0.301666647,-0.5,1.184333444
2.128010187,-0.302046676,0.000191986,0.821386857,0.152105447,0.200032193,-0.946701503,30.65999985,7.37100029,-0.995999932,3.977333069,0.301666647,-0.5,1.059666634
2.128027631,-0.302046676,0.000174533,0.821386857,0.152105447,0.200032193,-0.946701503,30.67199898,7.410000324,-0.983999968,3.951999903,0.241333336,-0.550000012,1.121999979
2.128027631,-0.302046676,0.000174533,0.821386857,0.152105447,0.200014733,-0.946701503,30.67199898,7.351500034,-0.959999919,3.977333069,0.301666647,-0.550000012,1.059666634
2.128010187,-0.302046676,0.000174533,0.821386857,0.152122891,0.200014733,-0.946701503,30.70799828,7.332000256,-0.923999965,3.977333069,0.241333336,-0.600000024,1.059666634
2.128010187,-0.302046676,0.000174533,0.821386857,0.152105447,0.200014733,-0.946684059,30.70799828,7.351500034,-0.971999943,3.964666605,0.301666647,-0.550000012,1.059666634
2.128010187,-0.302046676,0.000174533,0.821386857,0.152105447,0.200032193,-0.946701503,30.64799881,7.37100029,-0.947999954,3.964666605,0.241333336,-0.550000012,1.121999979
2.128010187,-0.302046676,0.000191986,0.821386857,0.152105447,0.200014733,-0.946701503,30.64799881,7.332000256,-0.983999968,4.002666473,0.241333336,-0.550000012,1.059666634
2.128027631,-0.302046676,0.000191986,0.821386857,0.152105447,0.200032193,-0.946701503,30.68399811,7.37100029,-0.959999919,3.989999771,0.241333336,-0.550000012,1.059666634
2.128010187,-0.302046676,0.000174533,0.821386857,0.152105447,0.200032193,-0.946701503,30.69599915,7.332000256,-0.93599999,3.977333069,0.361999989,-0.550000012,1.059666634
2.128010187,-0.302046676,0.000174533,0.821386857,0.152105447,0.200032193,-0.946701503,30.67199898,7.293000221,-0.947999954,3.977333069,0.241333336,-0.550000012,1.059666634
2.128010187,-0.302046676,0.000174533,0.821404301,0.152105447,0.200014733,-0.946701503,30.64799881,7.37100029,-0.93599999,3.977333069,0.301666647,-0.5,1.059666634
2.128027631,-0.302046676,0.000174533,0.821386857,0.152105447,0.200014733,-0.946684059,30.65999985,7.351500034,-0.947999954,3.964666605,0.241333336,-0.5,1.121999979
2.128010187,-0.302046676,0.000191986,0.821386857,0.152122891,0.200032193,-0.946701503,30.68399811,7.37100029,-0.959999919,3.977333069,0.301666647,-0.5,1.059666634
2.128027631,-0.302046676,0.000174533,0.821386857,0.152105447,0.200032193,-0.946701503,30.69599915,7.332000256,-0.93599999,3.964666605,0.241333336,-0.550000012,0.997333407
2.128010187,-0.302046676,0.000174533,0.821386857,0.152105447,0.200014733,-0.946701503,30.68399811,7.332000256,-0.959999919,3.951999903,0.361999989,-0.550000012,1.059666634
2.128027631,-0.302046676,0.000174533,0.821386857,0.152105447,0.200032193,-0.946701503,30.67199898,7.332000256,-0.971999943,3.964666605,0.241333336,-0.550000012,1.059666634
2.128027631,-0.302046676,0.000191986,0.821386857,0.152105447,0.200014733,-0.946701503,30.65999985,7.332000256,-0.959999919,3.989999771,0.301666647,-0.5,1.121999979
