position0,position1,position2,position3,position4,position5,position6,torque0,torque1,torque2,torque3,torque4,torque5,torque6,tactile0,tactile1,tactile2,tactile3,tactile4,tactile5,tactile6,tactile7,tactile8,tactile9,tactile10,tactile11,tactile12,tactile13,tactile14,tactile15,size0,size1,size2
-0.7661820288900197,-0.3371153285144045,0.35581392339285156,0.08819079266277663,-0.5637706840979393,-0.12220772634848465,0.7100261562339095,-0.052180832364863594,0.23044982593561525,-0.28353885157398895,0.06871577068669421,-0.2220779043260631,0.3306629993413325,-0.22307690437365513,-0.9,-0.9,-0.9,-0.9,-0.7983870937613435,-0.7570093431645695,-0.7734375028229579,-0.7513761423274845,-0.8840707955520937,-0.8658767781032882,-0.8711229959453226,-0.8769230765814083,-0.9,-0.9,-0.9,-0.9,0.0,0.0,0.0
-0.7661820288900197,-0.33712773343579716,0.35581392339285156,0.08819079266277663,-0.5637418204842973,-0.12219019674506848,0.7100261562339095,-0.05146276130294225,0.23169549412546442,-0.2843711549734579,0.06836336800303022,-0.22207790288267015,0.3306629993413325,-0.2153845917461995,-0.9,-0.9,-0.9,-0.9,-0.7963133605899702,-0.759112144914917,-0.7710937523489406,-0.7513761423274845,-0.8880530967359284,-0.8637440768886768,-0.8711229959453226,-0.8749999998149295,-0.9,-0.9,-0.9,-0.9,0.0,0.0,0.0
-0.7661820288900197,-0.3371153285144045,0.35581392339285156,0.08819079266277663,-0.5637273886774765,-0.12220772634848465,0.7100261562339095,-0.0524201767036655,0.23107266383812963,-0.28409372050696824,0.06906816673752003,-0.21038959235657095,0.3306629993413325,-0.2153845917461995,-0.9,-0.9,-0.9,-0.9,-0.8004608269327168,-0.7570093431645695,-0.7687500018749234,-0.7513761423274845,-0.8840707955520937,-0.8658767781032882,-0.8711229959453226,-0.8769230765814083,-0.9,-0.9,-0.9,-0.9,0.0,0.0,0.0
-0.7661820288900197,-0.3371153285144045,0.35581392339285156,0.08819079266277663,-0.5637273886774765,-0.12220772634848465,0.7100261562339095,-0.05122334087310909,0.2313840865969764,-0.2832614171074992,0.06977293230782,-0.21623374906301351,0.33314918463222976,-0.22307690437365513,-0.9,-0.9,-0.9,-0.9,-0.7983870937613435,-0.7570093431645695,-0.7687500018749234,-0.7513761423274845,-0.8840707955520937,-0.8658767781032882,-0.8711229959453226,-0.8769230765814083,-0.9,-0.9,-0.9,-0.9,0.0,0.0,0.0
-0.7661820288900197,-0.3371029235930115,0.35581392339285156,0.08819079266277663,-0.5637418204842973,-0.12217266505180924,0.7100261562339095,-0.05218079431934797,0.23076124107928264,-0.2838162887965505,0.06871577068669421,-0.21038959235657095,0.33314918463222976,-0.23076921700111086,-0.9,-0.9,-0.9,-0.9,-0.8004608269327168,-0.7570093431645695,-0.7710937523489406,-0.7513761423274845,-0.8880530967359284,-0.8658767781032882,-0.8687165791144553,-0.8769230765814083,-0.9,-0.9,-0.9,-0.9,0.0,0.0,0.0
-0.7661820288900197,-0.3371029235930115,0.35581392339285156,0.08819079266277663,-0.5637562522911184,-0.12217266505180924,0.7100261562339095,-0.05313820972007122,0.23262975478682557,-0.28575833281804985,0.06942054952267007,-0.21623374761962055,0.3306629993413325,-0.22307690069586972,-0.9,-0.9,-0.9,-0.9,-0.7963133605899702,-0.7570093431645695,-0.7710937523489406,-0.7513761423274845,-0.8880530967359284,-0.8637440768886768,-0.8687165791144553,-0.8769230765814083,-0.9,-0.9,-0.9,-0.9,0.0,0.0,0.0
-0.7661820288900197,-0.3371153285144045,0.35581392339285156,0.08819079266277663,-0.5637851159047601,-0.12219019674506848,0.7100261562339095,-0.05194144998054606,0.23013841840712723,-0.2838162860404785,0.06942054288983202,-0.2279220595891127,0.33314918463222976,-0.21538459542398491,-0.9,-0.9,-0.9,-0.9,-0.7983870937613435,-0.7570093431645695,-0.7710937523489406,-0.7513761423274845,-0.8761061931844243,-0.8658767781032882,-0.8711229959453226,-0.8769230765814083,-0.9,-0.9,-0.9,-0.9,0.0,0.0,0.0
-0.7661820288900197,-0.3371029235930115,0.35581392339285156,0.08820150514458125,-0.5637851159047601,-0.12219019674506848,0.7100261562339095,-0.052898827335753684,0.22982699564828046,-0.28409372050696824,0.06906815347184403,-0.23961037155860476,0.3306629993413325,-0.21153843727136434,-0.9,-0.9,-0.9,-0.9,-0.7942396274185969,-0.7570093431645695,-0.7687500018749234,-0.7513761423274845,-0.880088494368259,-0.8658767781032882,-0.8711229959453226,-0.8769230765814083,-0.9,-0.9,-0.9,-0.9,0.0,0.0,0.0
-0.7661820288900197,-0.3371153285144045,0.35581392339285156,0.08819079266277663,-0.5637562522911184,-0.12219019465522551,0.7100261562339095,-0.052898941472300565,0.23076124869446224,-0.2843711549734579,0.06906816673752003,-0.21623374761962055,0.33314918463222976,-0.2153845917461995,-0.9,-0.9,-0.9,-0.9,-0.7963133605899702,-0.7570093431645695,-0.7710937523489406,-0.7513761423274845,-0.8880530967359284,-0.8658767781032882,-0.866310162283588,-0.8769230765814083,-0.9,-0.9,-0.9,-0.9,0.0,0.0,0.0
-0.7661820288900197,-0.3371029235930115,0.35581392339285156,0.08819079266277663,-0.5637418204842973,-0.12219019674506848,0.7100261562339095,-0.05265948299695178,0.23107266383812963,-0.28520346112899875,0.0680109852178804,-0.22792206103250556,0.3281768140504354,-0.21923074989881997,-0.9,-0.9,-0.9,-0.9,-0.8004608269327168,-0.7570093431645695,-0.7757812532969751,-0.7513761423274845,-0.8840707955520937,-0.8637440768886768,-0.8711229959453226,-0.8788461536254929,-0.9,-0.9,-0.9,-0.9,0.0,0.0,0.0
