1.764095585089832108e-01,1.240202988863112546e-02,7.051413813340132175e-02,-2.363658577371330338e-01
2.047894384708209836e-01,2.727434496595283406e-02,6.550514593073965275e-02,-1.918661942141535459e-01
2.464811671939749482e-01,6.079489635322296581e-02,5.080244911004289099e-02,-1.567321159395835550e-01
2.920752616989427120e-01,1.123857368714223925e-01,3.664098777781077398e-02,-1.205624597427863848e-01
3.398745188016265018e-01,1.543542836683955144e-01,1.943453281539199093e-02,-8.545827131479323546e-02
3.851884658494764135e-01,1.804267968796298693e-01,-3.441413501214011638e-03,-5.787315885551932992e-02
4.261881095954110910e-01,2.015740076458670815e-01,-2.738024602538437560e-02,-3.343226520950981495e-02
4.629609551130028922e-01,2.146141923653544226e-01,-5.117324896156633107e-02,-1.008680776953429191e-02
4.935019673546052754e-01,2.164504323781516748e-01,-7.610637468613434820e-02,8.979659245756235753e-03
5.164916688607479323e-01,2.141472783630732346e-01,-1.001960849910683571e-01,2.504155631860359790e-02
5.328291540031000473e-01,2.096610273384743317e-01,-1.220673151082633801e-01,4.043397863601506936e-02
5.428087864063791956e-01,2.008282354449114626e-01,-1.427481398608362873e-01,5.373320561725862532e-02
5.464869079690148901e-01,1.904926289848175025e-01,-1.620928925259753628e-01,6.456728774040490504e-02
5.451360592839332719e-01,1.807771319160068058e-01,-1.794179600668340258e-01,7.433749791225784109e-02
5.396086880505193140e-01,1.704150350150853699e-01,-1.954170358830821519e-01,8.235939930321993507e-02
5.303965094303338956e-01,1.600239226005295556e-01,-2.105273937237849835e-01,8.790940465372416857e-02
5.181736390200213371e-01,1.513580687105182676e-01,-2.244563712198603123e-01,9.146967766468429295e-02
5.036868569391090844e-01,1.441124721235720330e-01,-2.374529254957792879e-01,9.302231159011860318e-02
4.871596137455340703e-01,1.383862022642988465e-01,-2.499734064093729613e-01,9.185025526457049616e-02
4.689121370052335980e-01,1.354510888860364914e-01,-2.619195253530713363e-01,8.810246756950926295e-02
4.492359311909895347e-01,1.356004906512058850e-01,-2.733073991075626319e-01,8.192797475399236917e-02
4.282287484698276137e-01,1.387903272883512229e-01,-2.843542514539857957e-01,7.307197063009378268e-02
4.060878779101848024e-01,1.453514679852150049e-01,-2.949538289406837266e-01,6.195007536290889766e-02
3.824635787706443524e-01,1.555790096109085641e-01,-3.048112319922324787e-01,4.870412615347008423e-02
3.551539774744372213e-01,1.653358126809718054e-01,-3.124382588647345860e-01,3.496448432081481622e-02
3.197105036621881724e-01,1.683751973830022175e-01,-3.162220852637170898e-01,2.120737114885274180e-02
2.771993984589907756e-01,1.736824012368581305e-01,-3.168957097567031700e-01,6.953093451271326331e-03
2.302212144765034274e-01,1.835203307357534674e-01,-3.152176067479721122e-01,-7.871112509739625063e-03
1.803497477509866109e-01,1.921332533949571819e-01,-3.135921614637680599e-01,-2.582529062336070061e-02
1.270816857146746803e-01,2.020065024434032630e-01,-3.112928484424402620e-01,-4.622597211261490063e-02
