,epoch,train_loss,test_loss
0,1,0.08390348026203731,0.05912891775369644
1,5,0.014136290103788413,0.014014320448040962
2,10,0.0031308792309746856,0.003910651430487633
3,15,0.0024243601161750062,0.003318075556308031
4,20,0.0021375429406318637,0.0025925985537469387
5,25,0.0018257340268483238,0.0022949690464884043
6,30,0.0017047803959853592,0.002086284104734659
7,35,0.0016244901787667047,0.002094798721373081
8,40,0.001468939595811424,0.0019771200604736805
9,45,0.0013407841546549683,0.00189738511107862
10,50,0.001301875875686251,0.001795575488358736
11,55,0.001278421435032099,0.0018373121274635196
12,60,0.001196103371007161,0.001770011498592794
13,65,0.0013213251026288149,0.0019239080138504505
14,70,0.0011522848628431794,0.0016842866316437721
15,75,0.001148443785496056,0.0017661069286987185
16,80,0.0011016644430272872,0.0018617578316479921
17,85,0.0011359143675127555,0.0018530333181843162
18,90,0.0010933804155756083,0.0015506930649280548
19,95,0.001048952893590525,0.0016816502902656794
20,100,0.0010626951541145525,0.0017907153815031052
21,105,0.0010272303498202256,0.0016861589392647147
22,110,0.0010084269682891548,0.0015518385916948318
23,115,0.0010898745552237546,0.001688838703557849
24,120,0.0009920331815789854,0.0020517706871032715
25,125,0.001069372153974005,0.0019722511060535908
26,130,0.0012766793444161377,0.0019708904437720776
27,135,0.0009313980551687853,0.0017119654221460223
28,140,0.0009383796584895916,0.0016879242612048984
29,145,0.0009783110267201822,0.0020102630369365215
30,150,0.000935973649445389,0.0016586566343903542
31,155,0.000902064353419793,0.0017460980452597141
32,160,0.0009520798819952659,0.001963851973414421
33,165,0.0009492971049252129,0.002294778823852539
34,170,0.001171512986599867,0.0017021961975842714
35,175,0.0009264977508416724,0.00151881854981184
36,180,0.0008786828968570464,0.001907991012558341
37,185,0.0009211221292230582,0.0018232576549053192
38,190,0.0009156426374194404,0.0018033114029094577
39,195,0.0008850430696463538,0.0017691763350740075
40,200,0.0008743548172614759,0.0017817708430811763
